,Value
Accuracy,0.855390050290012
Mean Per Class Accuracy,0.7672422674226561
Mean I/U,0.5318765199235661
Bicyclist,0.37811429852430756
Building,0.6812648652878173
Car,0.6520035708138922
Column_Pole,0.19859786989938372
Fence,0.35555139772428035
Pedestrian,0.2617257162386418
Road,0.8781265312686235
Sidewalk,0.7189145595952885
SignSymbol,0.14057750937401442
Sky,0.887267592170906
VegetationMisc,0.6984978082620729
