,Value
Accuracy,0.8247844315065942
Mean Per Class Accuracy,0.6141706616412801
Mean I/U,0.4567540740215732
Bicyclist,0.16049368008482148
Building,0.644356396252042
Car,0.6035245964808932
Column_Pole,0.19992801084546888
Fence,0.20701965906426872
Pedestrian,0.24984685692060868
Road,0.8371594531380934
Sidewalk,0.5270549894445089
SignSymbol,0.13651840413143637
Sky,0.8561271813829509
VegetationMisc,0.6022655864922128
