,Value
Accuracy,0.8963787710081209
Mean Per Class Accuracy,0.7144179029702499
Mean I/U,0.552229339217862
Bicyclist,0.24107912225409303
Building,0.7590557532269232
Car,0.6665961939594087
Column_Pole,0.27936438641971983
Fence,0.2537511661731557
Pedestrian,0.32971548837066394
Road,0.9140131554892574
Sidewalk,0.8000072094674727
SignSymbol,0.20932156194719256
Sky,0.9239059189933898
VegetationMisc,0.697712775095204
