,Value
Accuracy,0.9018552483056949
Mean Per Class Accuracy,0.6948420712286524
Mean I/U,0.575838331743467
Bicyclist,0.37983836249070485
Building,0.7697982205177881
Car,0.6283396912869635
Column_Pole,0.3079902090909535
Fence,0.22645065519937058
Pedestrian,0.4518282036961564
Road,0.9011901520088589
Sidewalk,0.7783618512562415
SignSymbol,0.23027247493343908
Sky,0.9221624663657518
VegetationMisc,0.737989362331908
