,Value
Accuracy,0.8240282047682218
Mean Per Class Accuracy,0.5337796576085015
Mean I/U,0.42125439292686306
Bicyclist,0.043014247792404786
Building,0.6420815152363447
Car,0.5163508679072327
Column_Pole,0.13711537757381212
Fence,0.12797270378478592
Pedestrian,0.22479052160474866
Road,0.8497056607984823
Sidewalk,0.5409920239239705
SignSymbol,0.07143770683122572
Sky,0.8837637980485781
VegetationMisc,0.5965738986939086
