,Value
Accuracy,0.8863753928028698
Mean Per Class Accuracy,0.7212778203876955
Mean I/U,0.5749265383925857
Bicyclist,0.45128108664660227
Building,0.7412599232902828
Car,0.6766141059828549
Column_Pole,0.25552722502887176
Fence,0.39000503081569304
Pedestrian,0.3849831997932282
Road,0.8917184601492664
Sidewalk,0.7365651039584098
SignSymbol,0.21210182374976075
Sky,0.8899243960295842
VegetationMisc,0.6942115668738893
